model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
naive_last,relative_return,5,1,85,2024-11-06T00:00:00,0.0,0.0407404899597168,-0.0407404899597168,0.0407404899597168,0.0016597875221577851
naive_last,relative_return,5,2,86,2024-11-07T00:00:00,0.0,0.06411266326904297,-0.06411266326904297,0.06411266326904297,0.0041104335914496914
naive_last,relative_return,5,3,87,2024-11-08T00:00:00,0.0,0.055178284645080566,-0.055178284645080566,0.055178284645080566,0.003044643096373534
naive_last,relative_return,5,4,88,2024-11-11T00:00:00,0.0,0.0382387638092041,-0.0382387638092041,0.0382387638092041,0.0014622030576560974
naive_last,relative_return,5,5,89,2024-11-12T00:00:00,0.0,0.05989551544189453,-0.05989551544189453,0.05989551544189453,0.0035874727700502262
naive_last,relative_return,6,1,90,2024-11-13T00:00:00,0.0,-0.013621866703033447,0.013621866703033447,0.013621866703033447,0.00018555525247521132
naive_last,relative_return,6,2,91,2024-11-14T00:00:00,0.0,-0.010317623615264893,0.010317623615264893,0.010317623615264893,0.00010645335706627179
naive_last,relative_return,6,3,92,2024-11-15T00:00:00,0.0,-0.04255175590515137,0.04255175590515137,0.04255175590515137,0.0018106519306115842
naive_last,relative_return,6,4,93,2024-11-18T00:00:00,0.0,-0.05489242076873779,0.05489242076873779,0.05489242076873779,0.003013177857852156
naive_last,relative_return,6,5,94,2024-11-19T00:00:00,0.0,-0.008631706237792969,0.008631706237792969,0.008631706237792969,7.450635257555405e-05
naive_last,relative_return,7,1,95,2024-11-20T00:00:00,0.0,-0.0076184868812561035,0.0076184868812561035,0.0076184868812561035,5.804134235987135e-05
naive_last,relative_return,7,2,96,2024-11-21T00:00:00,0.0,-0.0023127198219299316,0.0023127198219299316,0.0023127198219299316,5.348672974747615e-06
naive_last,relative_return,7,3,97,2024-11-22T00:00:00,0.0,-0.03441941738128662,0.03441941738128662,0.03441941738128662,0.0011846962928672156
naive_last,relative_return,7,4,98,2024-11-25T00:00:00,0.0,-0.07475674152374268,0.07475674152374268,0.07475674152374268,0.005588570403247672
naive_last,relative_return,7,5,99,2024-11-26T00:00:00,0.0,-0.0686347484588623,0.0686347484588623,0.0686347484588623,0.0047107286960113015
naive_last,relative_return,8,1,100,2024-11-27T00:00:00,0.0,-0.011539578437805176,0.011539578437805176,0.011539578437805176,0.00013316187052225814
naive_last,relative_return,8,2,101,2024-11-29T00:00:00,0.0,0.00971376895904541,-0.00971376895904541,0.00971376895904541,9.435730738971415e-05
naive_last,relative_return,8,3,102,2024-12-02T00:00:00,0.0,0.012489080429077148,-0.012489080429077148,0.012489080429077148,0.00015597712996395785
naive_last,relative_return,8,4,103,2024-12-03T00:00:00,0.0,0.024393796920776367,-0.024393796920776367,0.024393796920776367,0.0005950573282120786
naive_last,relative_return,8,5,104,2024-12-04T00:00:00,0.0,0.060035109519958496,-0.060035109519958496,0.060035109519958496,0.0036042143750734112
naive_last,relative_return,9,1,105,2024-12-05T00:00:00,0.0,-0.0005512237548828125,0.0005512237548828125,0.0005512237548828125,3.0384762794710696e-07
naive_last,relative_return,9,2,106,2024-12-06T00:00:00,0.0,-0.018602728843688965,0.018602728843688965,0.018602728843688965,0.00034606152043181737
naive_last,relative_return,9,3,107,2024-12-09T00:00:00,0.0,-0.04361307621002197,0.04361307621002197,0.04361307621002197,0.0019021004165011846
naive_last,relative_return,9,4,108,2024-12-10T00:00:00,0.0,-0.0693812370300293,0.0693812370300293,0.0693812370300293,0.0048137560518171085
naive_last,relative_return,9,5,109,2024-12-11T00:00:00,0.0,-0.04016810655593872,0.04016810655593872,0.04016810655593872,0.0016134767842892472
naive_last,relative_return,10,1,110,2024-12-12T00:00:00,0.0,-0.01414114236831665,0.01414114236831665,0.01414114236831665,0.00019997190748100024
naive_last,relative_return,10,2,111,2024-12-13T00:00:00,0.0,-0.03632187843322754,0.03632187843322754,0.03632187843322754,0.0013192788529181598
naive_last,relative_return,10,3,112,2024-12-16T00:00:00,0.0,-0.05247288942337036,0.05247288942337036,0.05247288942337036,0.002753404124437253
naive_last,relative_return,10,4,113,2024-12-17T00:00:00,0.0,-0.06402987241744995,0.06402987241744995,0.06402987241744995,0.004099824561794918
naive_last,relative_return,10,5,114,2024-12-18T00:00:00,0.0,-0.07465362548828125,0.07465362548828125,0.07465362548828125,0.005573163798544556
naive_last,relative_return,11,1,115,2024-12-19T00:00:00,0.0,0.013730406761169434,-0.013730406761169434,0.013730406761169434,0.0001885240698271673
naive_last,relative_return,11,2,116,2024-12-20T00:00:00,0.0,0.044914960861206055,-0.044914960861206055,0.044914960861206055,0.0020173537091636717
naive_last,relative_return,11,3,117,2024-12-23T00:00:00,0.0,0.08346903324127197,-0.08346903324127197,0.08346903324127197,0.0069670795102325656
naive_last,relative_return,11,4,118,2024-12-24T00:00:00,0.0,0.08773565292358398,-0.08773565292358398,0.08773565292358398,0.007697544793927591
naive_last,relative_return,11,5,119,2024-12-26T00:00:00,0.0,0.08548593521118164,-0.08548593521118164,0.08548593521118164,0.007307845118930345
mean_context,relative_return,0,1,60,2024-10-02T00:00:00,-0.0011094260262325406,0.015811920166015625,-0.01692134700715542,0.01692134700715542,0.00028633198453656764
mean_context,relative_return,0,2,61,2024-10-03T00:00:00,-0.002217621309682727,0.04999995231628418,-0.052217572927474976,0.052217572927474976,0.0027266749224361675
mean_context,relative_return,0,3,62,2024-10-04T00:00:00,-0.003324587130919099,0.06769227981567383,-0.07101687043905258,0.07101687043905258,0.0050433958869571804
mean_context,relative_return,0,4,63,2024-10-07T00:00:00,-0.004430324770510197,0.09162390232086182,-0.09605422616004944,0.09605422616004944,0.009226414363205926
mean_context,relative_return,0,5,64,2024-10-08T00:00:00,-0.005534835625439882,0.1358119249343872,-0.1413467675447464,0.1413467675447464,0.019978908695348574
mean_context,relative_return,1,1,65,2024-10-09T00:00:00,0.001703300978988409,-0.001806020736694336,0.003509321715682745,0.003509321715682745,1.2315338904162485e-05
mean_context,relative_return,1,2,66,2024-10-10T00:00:00,0.003409503260627389,0.014448046684265137,-0.011038543656468391,0.011038543656468391,0.00012184944605575856
mean_context,relative_return,1,3,67,2024-10-11T00:00:00,0.0051186117343604565,0.014372825622558594,-0.00925421342253685,0.00925421342253685,8.56404660698612e-05
mean_context,relative_return,1,4,68,2024-10-14T00:00:00,0.006830631289631128,0.03897964954376221,-0.03214901685714722,0.03214901685714722,0.001033559284881136
mean_context,relative_return,1,5,69,2024-10-15T00:00:00,0.008545567281544209,-0.009707212448120117,0.01825277879834175,0.01825277879834175,0.00033316393386119414
mean_context,relative_return,2,1,70,2024-10-16T00:00:00,0.0020080916583538055,0.03130698204040527,-0.029298890382051468,0.029298890382051468,0.000858424977619468
mean_context,relative_return,2,2,71,2024-10-17T00:00:00,0.004020215477794409,0.04050147533416748,-0.036481261253356934,0.036481261253356934,0.001330882422635682
mean_context,relative_return,2,3,72,2024-10-18T00:00:00,0.006036380305886269,0.048632144927978516,-0.042595766484737396,0.042595766484737396,0.0018143993224222776
mean_context,relative_return,2,4,73,2024-10-21T00:00:00,0.008056593127548695,0.09202122688293457,-0.08396463096141815,0.08396463096141815,0.00705005925248714
mean_context,relative_return,2,5,74,2024-10-22T00:00:00,0.01008086372166872,0.09110939502716064,-0.0810285285115242,0.0810285285115242,0.00656562243274289
mean_context,relative_return,3,1,75,2024-10-23T00:00:00,0.006251215003430843,-0.028066039085388184,0.0343172550201416,0.0343172550201416,0.001177673992117434
mean_context,relative_return,3,2,76,2024-10-24T00:00:00,0.012541508302092552,-0.02214634418487549,0.03468785434961319,0.03468785434961319,0.0012032472393799787
mean_context,relative_return,3,3,77,2024-10-25T00:00:00,0.0188711229711771,-0.01427680253982544,0.03314792364835739,0.03314792364835739,0.0010987848421973312
mean_context,relative_return,3,4,78,2024-10-28T00:00:00,0.025240305811166763,-0.021380245685577393,0.046620551496744156,0.046620551496744156,0.0021734758218605738
mean_context,relative_return,3,5,79,2024-10-29T00:00:00,0.03164930269122124,-0.01629638671875,0.04794568940997124,0.04794568940997124,0.002298789132997428
mean_context,relative_return,4,1,80,2024-10-30T00:00:00,0.005678211338818073,-0.013522148132324219,0.019200358539819717,0.019200358539819717,0.00036865376805762795
mean_context,relative_return,4,2,81,2024-10-31T00:00:00,0.01138866413384676,-0.06010621786117554,0.07149488478899002,0.07149488478899002,0.005111518550990957
mean_context,relative_return,4,3,82,2024-11-01T00:00:00,0.017131542786955833,-0.0414159893989563,0.05854753404855728,0.05854753404855728,0.003427813743166974
mean_context,relative_return,4,4,83,2024-11-04T00:00:00,0.02290702983736992,-0.03681415319442749,0.05972118303179741,0.05972118303179741,0.0035666197027174468
mean_context,relative_return,4,5,84,2024-11-05T00:00:00,0.028715312480926514,-0.009486675262451172,0.038201987743377686,0.038201987743377686,0.001459391867545179
mean_context,relative_return,5,1,85,2024-11-06T00:00:00,0.003615355584770441,0.0407404899597168,-0.037125132977962494,0.037125132977962494,0.0013782754986313983
mean_context,relative_return,5,2,86,2024-11-07T00:00:00,0.00724378228187561,0.06411266326904297,-0.05686888098716736,0.05686888098716736,0.003234069624732605
mean_context,relative_return,5,3,87,2024-11-08T00:00:00,0.010885326191782951,0.055178284645080566,-0.044292956590652466,0.044292956590652466,0.0019618660035414237
mean_context,relative_return,5,4,88,2024-11-11T00:00:00,0.014540036208927631,0.0382387638092041,-0.023698728531599045,0.023698728531599045,0.0005616297340144266
mean_context,relative_return,5,5,89,2024-11-12T00:00:00,0.018207959830760956,0.05989551544189453,-0.041687555611133575,0.041687555611133575,0.0017378522928313545
mean_context,relative_return,6,1,90,2024-11-13T00:00:00,0.0030402725096791983,-0.013621866703033447,0.01666213944554329,0.01666213944554329,0.00027762689090272963
mean_context,relative_return,6,2,91,2024-11-14T00:00:00,0.006089788395911455,-0.010317623615264893,0.01640741154551506,0.01640741154551506,0.0002692031536239009
mean_context,relative_return,6,3,92,2024-11-15T00:00:00,0.009148575365543365,-0.04255175590515137,0.05170033127069473,0.05170033127069473,0.0026729242534995756
mean_context,relative_return,6,4,93,2024-11-18T00:00:00,0.012216662056744099,-0.05489242076873779,0.06710908561944962,0.06710908561944962,0.004503629372678619
mean_context,relative_return,6,5,94,2024-11-19T00:00:00,0.01529407687485218,-0.008631706237792969,0.02392578311264515,0.02392578311264515,0.0005724430975533358
mean_context,relative_return,7,1,95,2024-11-20T00:00:00,0.0027501166332513094,-0.0076184868812561035,0.01036860328167677,0.01036860328167677,0.00010750793401279827
mean_context,relative_return,7,2,96,2024-11-21T00:00:00,0.005507796537131071,-0.0023127198219299316,0.00782051682472229,0.00782051682472229,6.116048340576441e-05
