model,rolling_step,horizon_step,target_index,predicted_value,locked
naive_last,36,5,40,0.21950554847717285,True
naive_last,37,1,37,0.2961609363555908,True
naive_last,37,2,38,0.2961609363555908,True
naive_last,37,3,39,0.2961609363555908,True
naive_last,37,4,40,0.2961609363555908,True
naive_last,37,5,41,0.2961609363555908,True
naive_last,38,1,38,0.26977694034576416,True
naive_last,38,2,39,0.26977694034576416,True
naive_last,38,3,40,0.26977694034576416,True
naive_last,38,4,41,0.26977694034576416,True
naive_last,38,5,42,0.26977694034576416,True
naive_last,39,1,39,0.324221134185791,True
naive_last,39,2,40,0.324221134185791,True
naive_last,39,3,41,0.324221134185791,True
naive_last,39,4,42,0.324221134185791,True
naive_last,39,5,43,0.324221134185791,True
naive_last,40,1,40,0.3255351781845093,True
naive_last,40,2,41,0.3255351781845093,True
naive_last,40,3,42,0.3255351781845093,True
naive_last,40,4,43,0.3255351781845093,True
naive_last,40,5,44,0.3255351781845093,True
naive_last,41,1,41,0.22352194786071777,True
naive_last,41,2,42,0.22352194786071777,True
naive_last,41,3,43,0.22352194786071777,True
naive_last,41,4,44,0.22352194786071777,True
naive_last,41,5,45,0.22352194786071777,True
naive_last,42,1,42,0.21747100353240967,True
naive_last,42,2,43,0.21747100353240967,True
naive_last,42,3,44,0.21747100353240967,True
naive_last,42,4,45,0.21747100353240967,True
naive_last,42,5,46,0.21747100353240967,True
naive_last,43,1,43,0.10749304294586182,True
naive_last,43,2,44,0.10749304294586182,True
naive_last,43,3,45,0.10749304294586182,True
naive_last,43,4,46,0.10749304294586182,True
naive_last,43,5,47,0.10749304294586182,True
naive_last,44,1,44,0.0739051103591919,True
naive_last,44,2,45,0.0739051103591919,True
naive_last,44,3,46,0.0739051103591919,True
naive_last,44,4,47,0.0739051103591919,True
naive_last,44,5,48,0.0739051103591919,True
naive_last,45,1,45,-0.036923766136169434,True
naive_last,45,2,46,-0.036923766136169434,True
naive_last,45,3,47,-0.036923766136169434,True
naive_last,45,4,48,-0.036923766136169434,True
naive_last,45,5,49,-0.036923766136169434,True
naive_last,46,1,46,-0.044476330280303955,True
naive_last,46,2,47,-0.044476330280303955,True
naive_last,46,3,48,-0.044476330280303955,True
naive_last,46,4,49,-0.044476330280303955,True
naive_last,46,5,50,-0.044476330280303955,True
naive_last,47,1,47,-0.046697795391082764,True
naive_last,47,2,48,-0.046697795391082764,True
naive_last,47,3,49,-0.046697795391082764,True
naive_last,47,4,50,-0.046697795391082764,True
naive_last,47,5,51,-0.046697795391082764,True
naive_last,48,1,48,0.02133798599243164,True
naive_last,48,2,49,0.02133798599243164,True
naive_last,48,3,50,0.02133798599243164,True
naive_last,48,4,51,0.02133798599243164,True
naive_last,48,5,52,0.02133798599243164,True
naive_last,49,1,49,-0.052745044231414795,True
naive_last,49,2,50,-0.052745044231414795,True
naive_last,49,3,51,-0.052745044231414795,True
naive_last,49,4,52,-0.052745044231414795,True
naive_last,49,5,53,-0.052745044231414795,True
naive_last,50,1,50,-0.13376885652542114,True
naive_last,50,2,51,-0.13376885652542114,True
naive_last,50,3,52,-0.13376885652542114,True
naive_last,50,4,53,-0.13376885652542114,True
naive_last,50,5,54,-0.13376885652542114,True
naive_last,51,1,51,-0.07659363746643066,True
naive_last,51,2,52,-0.07659363746643066,True
naive_last,51,3,53,-0.07659363746643066,True
naive_last,51,4,54,-0.07659363746643066,True
naive_last,51,5,55,-0.07659363746643066,True
naive_last,52,1,52,0.0007264614105224609,True
naive_last,52,2,53,0.0007264614105224609,True
naive_last,52,3,54,0.0007264614105224609,True
naive_last,52,4,55,0.0007264614105224609,True
naive_last,52,5,56,0.0007264614105224609,True
naive_last,53,1,53,-0.009352803230285645,True
naive_last,53,2,54,-0.009352803230285645,True
naive_last,53,3,55,-0.009352803230285645,True
naive_last,53,4,56,-0.009352803230285645,True
naive_last,53,5,57,-0.009352803230285645,True
naive_last,54,1,54,0.007538437843322754,True
naive_last,54,2,55,0.007538437843322754,True
naive_last,54,3,56,0.007538437843322754,True
naive_last,54,4,57,0.007538437843322754,True
naive_last,54,5,58,0.007538437843322754,True
naive_last,55,1,55,0.18455612659454346,True
naive_last,55,2,56,0.18455612659454346,True
naive_last,55,3,57,0.18455612659454346,True
naive_last,55,4,58,0.18455612659454346,True
naive_last,55,5,59,0.18455612659454346,True
naive_last,56,1,56,0.2674856185913086,True
naive_last,56,2,57,0.2674856185913086,True
naive_last,56,3,58,0.2674856185913086,True
naive_last,56,4,59,0.2674856185913086,True
naive_last,56,5,60,0.2674856185913086,True
naive_last,57,1,57,0.2379390001296997,True
naive_last,57,2,58,0.2379390001296997,True
naive_last,57,3,59,0.2379390001296997,True
naive_last,57,4,60,0.2379390001296997,True
naive_last,57,5,61,0.2379390001296997,True
naive_last,58,1,58,0.2677229642868042,True
naive_last,58,2,59,0.2677229642868042,True
naive_last,58,3,60,0.2677229642868042,True
naive_last,58,4,61,0.2677229642868042,True
naive_last,58,5,62,0.2677229642868042,True
naive_last,59,1,59,0.15883100032806396,True
naive_last,59,2,60,0.15883100032806396,True
naive_last,59,3,61,0.15883100032806396,True
naive_last,59,4,62,0.15883100032806396,True
naive_last,59,5,63,0.15883100032806396,True
naive_last,60,1,60,0.14191532135009766,True
naive_last,60,2,61,0.14191532135009766,True
naive_last,60,3,62,0.14191532135009766,True
naive_last,60,4,63,0.14191532135009766,True
naive_last,60,5,64,0.14191532135009766,True
previous_patch,0,1,0,-0.09358447790145874,True
previous_patch,0,2,1,-0.014214396476745605,True
previous_patch,0,3,2,-0.13482314348220825,True
previous_patch,0,4,3,0.019772052764892578,True
previous_patch,0,5,4,-0.037371885031461716,True
previous_patch,1,1,1,-0.17751199007034302,True
previous_patch,1,2,2,-0.0018662214279174805,True
previous_patch,1,3,3,-0.15380221605300903,True
