stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
GOOGL,Shared-target JEPA--MAE,0.0025891652626462347,0.0013061063996740148,0.038436253196590484,0.007943672942062168,0.5598684210526316,0.042005776105476886,10,10
GOOGL,Local-MAE/Long-JEPA,0.002915570152207301,0.001337569049548421,0.040582937824319265,0.007672699343060946,0.5447368421052632,0.0370607546917151,10,10
GOOGL,GRU,0.001563364906767292,4.337506553293583e-05,0.03122385615127553,0.0005054911816452667,0.5401315789473684,0.041429379740638886,10,10
GOOGL,Naive-last,0.0015253262489879915,0.0,0.029851428772273807,0.0,0.0,0.0,10,10
GOOGL,Drift,0.0015325449419093193,0.0,0.030881319900876596,0.0,0.5855263157894737,0.0,10,10
GOOGL,Mean-context,0.0268477047797619,0.0,0.14389773473192594,0.0,0.0,0.0,10,10
META,Shared-target JEPA--MAE,0.001705575729864037,0.00015141115287306298,0.030720805463405616,0.0012901427258224915,0.4947368421052632,0.040293628343353885,10,10
META,Local-MAE/Long-JEPA,0.0016673440052978005,0.00015019241956537222,0.02989367804771877,0.0011974052863575717,0.5289473684210526,0.04310758728177407,10,10
META,GRU,0.0016333411102788051,0.00015896531594565276,0.03023609552532434,0.0015598026225340904,0.5078947368421053,0.044382844353240414,10,10
META,Naive-last,0.0013318391884044407,0.0,0.025067813459195593,0.0,0.0,0.0,10,10
META,Drift,0.0014769733339636654,0.0,0.025960089706227575,0.0,0.4934210526315789,0.0,10,10
META,Mean-context,0.012785809563903789,0.0,0.09378209602773972,0.0,0.0,0.0,10,10
MSFT,Shared-target JEPA--MAE,0.0010861075993771486,0.00020302531786407554,0.024499218811918237,0.0019344353395847527,0.5013157894736843,0.0326452527472428,10,10
MSFT,Local-MAE/Long-JEPA,0.001018267811396637,0.00012296829047008474,0.023677092220474906,0.0018996449038716687,0.4934210526315789,0.048543736011356704,10,10
MSFT,GRU,0.0007998697013825844,5.6760952085768404e-05,0.02055181294030166,0.0011375969076661213,0.5046052631578948,0.03132973054472262,10,10
MSFT,Naive-last,0.0007627718584070876,0.0,0.01905776858329773,0.0,0.0,0.0,10,10
MSFT,Drift,0.0008222157349031152,0.0,0.01975785051962654,0.0,0.5921052631578947,0.0,10,10
MSFT,Mean-context,0.008568797386877231,0.0,0.07173996646306476,0.0,0.0,0.0,10,10
NVDA,Shared-target JEPA--MAE,0.002447292055462724,0.00037433391401722114,0.039268869007692525,0.003054105000061031,0.5519736842105263,0.035557437094337375,10,10
NVDA,Local-MAE/Long-JEPA,0.002594052138082961,0.00046056858568541126,0.040077363222004156,0.002592983224817008,0.5394736842105263,0.022364120673652572,10,10
NVDA,GRU,0.0023603995466598927,0.00012673745004697663,0.03955551764413127,0.0012739651211425183,0.525,0.03464634676865177,10,10
NVDA,Naive-last,0.0019788274472474546,0.0,0.03576570404203314,0.0,0.0,0.0,10,10
NVDA,Drift,0.002022954448626363,0.0,0.03561491650333139,0.0,0.5460526315789473,0.0,10,10
NVDA,Mean-context,0.0263182630197257,0.0,0.12523933760071246,0.0,0.0,0.0,10,10
TSLA,Shared-target JEPA--MAE,0.004349288304942119,0.0005499495611148174,0.050263796425056885,0.0038006608755950634,0.5052631578947369,0.0691954600816154,10,10
TSLA,Local-MAE/Long-JEPA,0.004823195143157784,0.0005943576284828268,0.05281409889263542,0.003190896447066248,0.49210526315789477,0.044382844353240386,10,10
TSLA,GRU,0.004400465961617756,0.00044591199170572455,0.050854257488329155,0.0028750306863802554,0.4881578947368421,0.04158579409169668,10,10
TSLA,Naive-last,0.0032790809713694026,0.0,0.04341651389473363,0.0,0.0,0.0,10,10
TSLA,Drift,0.0040208507583552044,0.0,0.04660128035435551,0.0,0.5657894736842105,0.0,10,10
TSLA,Mean-context,0.02436860433715512,0.0,0.12220093521142476,0.0,0.0,0.0,10,10
WMT,Shared-target JEPA--MAE,0.0008367609849877988,6.941254327289887e-05,0.02169872944690531,0.001137085348036914,0.5092105263157894,0.025799019596232906,10,10
WMT,Local-MAE/Long-JEPA,0.000820338368744203,8.871050559465585e-05,0.02109177708757526,0.0013344166807648236,0.5039473684210527,0.03135274736958163,10,10
WMT,GRU,0.0007854983873730797,6.539181446300894e-05,0.019335976183095842,0.001023125229740302,0.5,0.024222282932428212,10,10
WMT,Naive-last,0.0007343751070669775,0.0,0.019432233195555832,0.0,0.006578947368421052,0.0,10,10
WMT,Drift,0.0007868990622780733,0.0,0.019997727432851914,0.0,0.4407894736842105,0.0,10,10
WMT,Mean-context,0.002392190259490703,0.0,0.03977208977785744,0.0,0.006578947368421052,0.0,10,10
