forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
value,12,4,15,6.0039801597595215,True
value,12,5,16,5.960476875305176,True
value,13,1,13,5.91146183013916,True
value,13,2,14,6.131270408630371,True
value,13,3,15,5.986658096313477,True
value,13,4,16,5.952319622039795,True
value,13,5,17,5.9223713874816895,True
value,14,1,14,5.956252098083496,True
value,14,2,15,6.194397926330566,True
value,14,3,16,6.016273498535156,True
value,14,4,17,5.969905853271484,True
value,14,5,18,5.900339603424072,True
value,15,1,15,5.979731559753418,True
value,15,2,16,6.229541778564453,True
value,15,3,17,6.072140693664551,True
value,15,4,18,6.049900054931641,True
value,15,5,19,5.976682662963867,True
value,16,1,16,5.84517765045166,True
value,16,2,17,6.108965873718262,True
value,16,3,18,5.907079219818115,True
value,16,4,19,5.890063285827637,True
value,16,5,20,5.855489730834961,True
value,17,1,17,6.015134334564209,True
value,17,2,18,6.281207084655762,True
value,17,3,19,6.107269287109375,True
value,17,4,20,6.052700996398926,True
value,17,5,21,6.0241522789001465,True
value,18,1,18,6.00407600402832,True
value,18,2,19,6.270395278930664,True
value,18,3,20,6.081902027130127,True
value,18,4,21,6.0393877029418945,True
value,18,5,22,5.985613822937012,True
value,19,1,19,5.924013137817383,True
value,19,2,20,6.184085845947266,True
value,19,3,21,5.995558261871338,True
value,19,4,22,5.951385498046875,True
value,19,5,23,5.898094177246094,True
value,20,1,20,5.717491149902344,True
value,20,2,21,5.994770526885986,True
value,20,3,22,5.779401779174805,True
value,20,4,23,5.754718780517578,True
value,20,5,24,5.739273548126221,True
value,21,1,21,5.816695213317871,True
value,21,2,22,6.090849876403809,True
value,21,3,23,5.910070419311523,True
value,21,4,24,5.864782810211182,True
value,21,5,25,5.841152191162109,True
value,22,1,22,5.603555679321289,True
value,22,2,23,5.905479907989502,True
value,22,3,24,5.706062316894531,True
value,22,4,25,5.670022010803223,True
value,22,5,26,5.638182640075684,True
value,23,1,23,5.637733459472656,True
value,23,2,24,5.933798313140869,True
value,23,3,25,5.758974075317383,True
value,23,4,26,5.74812650680542,True
value,23,5,27,5.681499481201172,True
value,24,1,24,5.738959312438965,True
value,24,2,25,6.05572509765625,True
value,24,3,26,5.845977783203125,True
value,24,4,27,5.842568397521973,True
value,24,5,28,5.789206504821777,True
value,25,1,25,5.749869346618652,True
value,25,2,26,6.0379533767700195,True
value,25,3,27,5.844647407531738,True
value,25,4,28,5.797627925872803,True
value,25,5,29,5.739816665649414,True
value,26,1,26,5.913982391357422,True
value,26,2,27,6.2026567459106445,True
value,26,3,28,6.034570693969727,True
value,26,4,29,6.000929832458496,True
value,26,5,30,5.913328647613525,True
value,27,1,27,5.8564910888671875,True
value,27,2,28,6.140511512756348,True
value,27,3,29,5.97286319732666,True
value,27,4,30,5.927823543548584,True
value,27,5,31,5.874932765960693,True
value,28,1,28,5.709673881530762,True
value,28,2,29,6.010159492492676,True
value,28,3,30,5.813399314880371,True
value,28,4,31,5.784019470214844,True
value,28,5,32,5.7518768310546875,True
value,29,1,29,5.78071403503418,True
value,29,2,30,6.099424362182617,True
value,29,3,31,5.885082244873047,True
value,29,4,32,5.863807678222656,True
value,29,5,33,5.789896488189697,True
value,30,1,30,6.283518314361572,True
value,30,2,31,6.565437316894531,True
value,30,3,32,6.447700500488281,True
value,30,4,33,6.409964561462402,True
value,30,5,34,6.30494499206543,True
value,31,1,31,5.955969333648682,True
value,31,2,32,6.248717308044434,True
value,31,3,33,6.040477752685547,True
value,31,4,34,5.994099140167236,True
value,31,5,35,5.94960355758667,True
value,32,1,32,5.77395486831665,True
value,32,2,33,6.065822601318359,True
value,32,3,34,5.867206573486328,True
value,32,4,35,5.809274673461914,True
value,32,5,36,5.780534744262695,True
value,33,1,33,5.6280317306518555,True
value,33,2,34,5.928677558898926,True
value,33,3,35,5.747845649719238,True
value,33,4,36,5.710111618041992,True
value,33,5,37,5.691291809082031,True
value,34,1,34,5.676466464996338,True
value,34,2,35,5.997943878173828,True
value,34,3,36,5.796108245849609,True
value,34,4,37,5.760116100311279,True
value,34,5,38,5.686309814453125,True
