model,forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
previous_patch,value,21,2,22,7.642553806304932,True
previous_patch,value,21,3,23,7.634734630584717,True
previous_patch,value,21,4,24,7.568958759307861,True
previous_patch,value,21,5,25,7.293436527252197,True
previous_patch,value,22,1,22,7.137046813964844,True
previous_patch,value,22,2,23,7.129687309265137,True
previous_patch,value,22,3,24,7.177524566650391,True
previous_patch,value,22,4,25,6.9640984535217285,True
previous_patch,value,22,5,26,7.023434162139893,True
previous_patch,value,23,1,23,7.136126518249512,True
previous_patch,value,23,2,24,7.438327312469482,True
previous_patch,value,23,3,25,7.430967807769775,True
previous_patch,value,23,4,26,7.4608659744262695,True
previous_patch,value,23,5,27,7.457645893096924,True
previous_patch,value,24,1,24,7.325634956359863,True
previous_patch,value,24,2,25,7.114508152008057,True
previous_patch,value,24,3,26,7.388190746307373,True
previous_patch,value,24,4,27,7.407968997955322,True
previous_patch,value,24,5,28,7.7271881103515625,True
previous_patch,value,25,1,25,7.4889235496521,True
previous_patch,value,25,2,26,7.4217681884765625,True
previous_patch,value,25,3,27,7.454886436462402,True
previous_patch,value,25,4,28,7.477884769439697,True
previous_patch,value,25,5,29,7.646234035491943,True
previous_patch,value,26,1,26,7.863799571990967,True
previous_patch,value,26,2,27,7.894157409667969,True
previous_patch,value,26,3,28,7.970052242279053,True
previous_patch,value,26,4,29,7.911635875701904,True
previous_patch,value,26,5,30,7.815962314605713,True
previous_patch,value,27,1,27,7.79296350479126,True
previous_patch,value,27,2,28,7.9801716804504395,True
previous_patch,value,27,3,29,8.139321327209473,True
previous_patch,value,27,4,30,7.7064900398254395,True
previous_patch,value,27,5,31,7.94383430480957,True
previous_patch,value,28,1,28,7.562519073486328,True
previous_patch,value,28,2,29,7.553319931030273,True
previous_patch,value,28,3,30,7.644393444061279,True
previous_patch,value,28,4,31,7.709249496459961,True
previous_patch,value,28,5,32,7.6825714111328125,True
previous_patch,value,29,1,29,7.614495754241943,True
previous_patch,value,29,2,30,7.574018478393555,True
previous_patch,value,29,3,31,7.660492897033691,True
previous_patch,value,29,4,32,7.8490800857543945,True
previous_patch,value,29,5,33,8.089644432067871,True
previous_patch,value,30,1,30,8.52845573425293,True
previous_patch,value,30,2,31,8.80489730834961,True
previous_patch,value,30,3,32,8.614009857177734,True
previous_patch,value,30,4,33,8.595611572265625,True
previous_patch,value,30,5,34,8.797538757324219,True
previous_patch,value,31,1,31,8.420823097229004,True
previous_patch,value,31,2,32,8.260753631591797,True
previous_patch,value,31,3,33,7.93279504776001,True
previous_patch,value,31,4,34,7.936014175415039,True
previous_patch,value,31,5,35,8.437381744384766,True
previous_patch,value,32,1,32,8.166460037231445,True
previous_patch,value,32,2,33,8.195898056030273,True
previous_patch,value,32,3,34,7.876678466796875,True
previous_patch,value,32,4,35,8.028928756713867,True
previous_patch,value,32,5,36,7.864719390869141,True
previous_patch,value,33,1,33,7.623694896697998,True
previous_patch,value,33,2,34,7.861039638519287,True
previous_patch,value,33,3,35,7.590577125549316,True
previous_patch,value,33,4,36,7.509622573852539,True
previous_patch,value,33,5,37,7.678431510925293,True
previous_patch,value,34,1,34,7.4608659744262695,True
previous_patch,value,34,2,35,7.573098182678223,True
previous_patch,value,34,3,36,7.423148155212402,True
previous_patch,value,34,4,37,7.557459354400635,True
previous_patch,value,34,5,38,7.628294944763184,True
previous_patch,value,35,1,35,7.542280197143555,True
previous_patch,value,35,2,36,7.716609001159668,True
previous_patch,value,35,3,37,7.671992301940918,True
previous_patch,value,35,4,38,7.816422462463379,True
previous_patch,value,35,5,39,7.7897443771362305,True
previous_patch,value,36,1,36,7.7350077629089355,True
previous_patch,value,36,2,37,7.603916168212891,True
previous_patch,value,36,3,38,7.332074165344238,True
previous_patch,value,36,4,39,7.3904900550842285,True
previous_patch,value,36,5,40,7.456265926361084,True
previous_patch,value,37,1,37,7.144406318664551,True
previous_patch,value,37,2,38,7.29159688949585,True
previous_patch,value,37,3,39,7.6066765785217285,True
previous_patch,value,37,4,40,7.730868339538574,True
previous_patch,value,37,5,41,7.984771728515625,True
previous_patch,value,38,1,38,7.9571733474731445,True
previous_patch,value,38,2,39,8.045487403869629,True
previous_patch,value,38,3,40,7.939234733581543,True
previous_patch,value,38,4,41,7.907956123352051,True
previous_patch,value,38,5,42,7.860119819641113,True
previous_patch,value,39,1,39,7.968212604522705,True
previous_patch,value,39,2,40,7.934634685516357,True
previous_patch,value,39,3,41,7.894157409667969,True
previous_patch,value,39,4,42,7.9801716804504395,True
previous_patch,value,39,5,43,7.79296350479126,True
previous_patch,value,40,1,40,7.784684658050537,True
previous_patch,value,40,2,41,7.788364410400391,True
previous_patch,value,40,3,42,7.828381538391113,True
previous_patch,value,40,4,43,7.705569744110107,True
previous_patch,value,40,5,44,7.885417938232422,True
previous_patch,value,41,1,41,7.847700119018555,True
previous_patch,value,41,2,42,7.472365379333496,True
previous_patch,value,41,3,43,7.7138495445251465,True
previous_patch,value,41,4,44,7.783764362335205,True
previous_patch,value,41,5,45,7.913936138153076,True
previous_patch,value,42,1,42,7.858739852905273,True
previous_patch,value,42,2,43,7.953033924102783,True
previous_patch,value,42,3,44,8.091024398803711,True
previous_patch,value,42,4,45,8.136561393737793,True
previous_patch,value,42,5,46,8.07308578491211,True
previous_patch,value,43,1,43,7.819182395935059,True
previous_patch,value,43,2,44,7.576777935028076,True
previous_patch,value,43,3,45,7.293896675109863,True
previous_patch,value,43,4,46,7.187644004821777,True
previous_patch,value,43,5,47,7.809983253479004,True
previous_patch,value,44,1,44,8.022948265075684,True
previous_patch,value,44,2,45,7.953953266143799,True
previous_patch,value,44,3,46,8.023408889770508,True
previous_patch,value,44,4,47,7.8803582191467285,True
previous_patch,value,44,5,48,7.690390586853027,True
previous_patch,value,45,1,45,7.7897443771362305,True
previous_patch,value,45,2,46,7.928194999694824,True
previous_patch,value,45,3,47,7.924515247344971,True
previous_patch,value,45,4,48,8.012829780578613,True
previous_patch,value,45,5,49,8.09240436553955,True
previous_patch,value,46,1,46,8.152200698852539,True
previous_patch,value,46,2,47,8.27685260772705,True
previous_patch,value,46,3,48,7.786064624786377,True
previous_patch,value,46,4,49,7.431887626647949,True
previous_patch,value,46,5,50,7.675211429595947,True
previous_patch,value,47,1,47,7.56343936920166,True
previous_patch,value,47,2,48,7.700969696044922,True
previous_patch,value,47,3,49,7.714768886566162,True
previous_patch,value,47,4,50,7.4608659744262695,True
previous_patch,value,47,5,51,7.68303108215332,True
previous_patch,value,48,1,48,7.780545234680176,True
previous_patch,value,48,2,49,7.8385009765625,True
previous_patch,value,48,3,50,7.705569744110107,True
previous_patch,value,48,4,51,7.572638511657715,True
previous_patch,value,48,5,52,7.709249496459961,True
previous_patch,value,49,1,49,7.6499128341674805,True
previous_patch,value,49,2,50,7.579537868499756,True
previous_patch,value,49,3,51,7.494903564453125,True
previous_patch,value,49,4,52,7.225360870361328,True
previous_patch,value,49,5,53,7.360592365264893,True
previous_patch,value,50,1,50,7.340353488922119,True
previous_patch,value,50,2,51,7.500422954559326,True
previous_patch,value,50,3,52,7.158205509185791,True
previous_patch,value,50,4,53,6.987096786499023,True
previous_patch,value,50,5,54,6.879003524780273,True
previous_patch,value,51,1,51,7.303555488586426,True
previous_patch,value,51,2,52,7.365652084350586,True
previous_patch,value,51,3,53,7.441086769104004,True
previous_patch,value,51,4,54,7.4525861740112305,True
previous_patch,value,51,5,55,7.473745346069336,True
previous_patch,value,52,1,52,7.656813144683838,True
previous_patch,value,52,2,53,7.740987777709961,True
previous_patch,value,52,3,54,7.958093643188477,True
previous_patch,value,52,4,55,7.989370822906494,True
