forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
value,20,4,23,6.027574062347412,True
value,20,5,24,5.778957843780518,True
value,21,1,21,6.023908615112305,True
value,21,2,22,5.9846930503845215,True
value,21,3,23,5.956056594848633,True
value,21,4,24,6.0304365158081055,True
value,21,5,25,5.780369758605957,True
value,22,1,22,5.997135639190674,True
value,22,2,23,5.961349964141846,True
value,22,3,24,5.934230804443359,True
value,22,4,25,6.0080790519714355,True
value,22,5,26,5.761111736297607,True
value,23,1,23,6.0134992599487305,True
value,23,2,24,5.976623058319092,True
value,23,3,25,5.948047161102295,True
value,23,4,26,6.022171497344971,True
value,23,5,27,5.774685382843018,True
value,24,1,24,6.032224655151367,True
value,24,2,25,5.993033409118652,True
value,24,3,26,5.962896823883057,True
value,24,4,27,6.037868022918701,True
value,24,5,28,5.7884135246276855,True
value,25,1,25,6.026997089385986,True
value,25,2,26,5.989126682281494,True
value,25,3,27,5.95900297164917,True
value,25,4,28,6.033999443054199,True
value,25,5,29,5.784660816192627,True
value,26,1,26,6.039056301116943,True
value,26,2,27,5.999319553375244,True
value,26,3,28,5.968175411224365,True
value,26,4,29,6.043863773345947,True
value,26,5,30,5.7927093505859375,True
value,27,1,27,6.043916702270508,True
value,27,2,28,6.0034356117248535,True
value,27,3,29,5.971983432769775,True
value,27,4,30,6.047784328460693,True
value,27,5,31,5.796026706695557,True
value,28,1,28,6.032564163208008,True
value,28,2,29,5.993394374847412,True
value,28,3,30,5.9625678062438965,True
value,28,4,31,6.0382981300354,True
value,28,5,32,5.787467956542969,True
value,29,1,29,6.041908264160156,True
value,29,2,30,6.002127647399902,True
value,29,3,31,5.970757961273193,True
value,29,4,32,6.04618501663208,True
value,29,5,33,5.795748233795166,True
value,30,1,30,6.0686845779418945,True
value,30,2,31,6.025986194610596,True
value,30,3,32,5.992230415344238,True
value,30,4,33,6.068859100341797,True
value,30,5,34,5.814486026763916,True
value,31,1,31,6.062096118927002,True
value,31,2,32,6.0196099281311035,True
value,31,3,33,5.986155033111572,True
value,31,4,34,6.06303071975708,True
value,31,5,35,5.808956623077393,True
value,32,1,32,6.047113418579102,True
value,32,2,33,6.006258487701416,True
value,32,3,34,5.9739251136779785,True
value,32,4,35,6.050490856170654,True
value,32,5,36,5.797479152679443,True
value,33,1,33,6.039718151092529,True
value,33,2,34,5.999210357666016,True
value,33,3,35,5.967548847198486,True
value,33,4,36,6.044036865234375,True
value,33,5,37,5.7916789054870605,True
value,34,1,34,6.02944803237915,True
value,34,2,35,5.990542888641357,True
value,34,3,36,5.9594197273254395,True
value,34,4,37,6.03577184677124,True
