model,rolling_step,horizon_step,target_index,predicted_value,locked
naive_last,38,2,39,-0.07431143522262573,True
naive_last,38,3,40,-0.07431143522262573,True
naive_last,38,4,41,-0.07431143522262573,True
naive_last,38,5,42,-0.07431143522262573,True
naive_last,39,1,39,-0.08832287788391113,True
naive_last,39,2,40,-0.08832287788391113,True
naive_last,39,3,41,-0.08832287788391113,True
naive_last,39,4,42,-0.08832287788391113,True
naive_last,39,5,43,-0.08832287788391113,True
naive_last,40,1,40,-0.15338146686553955,True
naive_last,40,2,41,-0.15338146686553955,True
naive_last,40,3,42,-0.15338146686553955,True
naive_last,40,4,43,-0.15338146686553955,True
naive_last,40,5,44,-0.15338146686553955,True
naive_last,41,1,41,-0.12333649396896362,True
naive_last,41,2,42,-0.12333649396896362,True
naive_last,41,3,43,-0.12333649396896362,True
naive_last,41,4,44,-0.12333649396896362,True
naive_last,41,5,45,-0.12333649396896362,True
naive_last,42,1,42,0.1421602964401245,True
naive_last,42,2,43,0.1421602964401245,True
naive_last,42,3,44,0.1421602964401245,True
naive_last,42,4,45,0.1421602964401245,True
naive_last,42,5,46,0.1421602964401245,True
naive_last,43,1,43,0.054825544357299805,True
naive_last,43,2,44,0.054825544357299805,True
naive_last,43,3,45,0.054825544357299805,True
naive_last,43,4,46,0.054825544357299805,True
naive_last,43,5,47,0.054825544357299805,True
naive_last,44,1,44,0.07040441036224365,True
naive_last,44,2,45,0.07040441036224365,True
naive_last,44,3,46,0.07040441036224365,True
naive_last,44,4,47,0.07040441036224365,True
naive_last,44,5,48,0.07040441036224365,True
naive_last,45,1,45,0.0016189813613891602,True
naive_last,45,2,46,0.0016189813613891602,True
naive_last,45,3,47,0.0016189813613891602,True
naive_last,45,4,48,0.0016189813613891602,True
naive_last,45,5,49,0.0016189813613891602,True
naive_last,46,1,46,0.02182614803314209,True
naive_last,46,2,47,0.02182614803314209,True
naive_last,46,3,48,0.02182614803314209,True
naive_last,46,4,49,0.02182614803314209,True
naive_last,46,5,50,0.02182614803314209,True
naive_last,47,1,47,-0.00421452522277832,True
naive_last,47,2,48,-0.00421452522277832,True
naive_last,47,3,49,-0.00421452522277832,True
naive_last,47,4,50,-0.00421452522277832,True
naive_last,47,5,51,-0.00421452522277832,True
naive_last,48,1,48,-0.033949196338653564,True
naive_last,48,2,49,-0.033949196338653564,True
naive_last,48,3,50,-0.033949196338653564,True
naive_last,48,4,51,-0.033949196338653564,True
naive_last,48,5,52,-0.033949196338653564,True
naive_last,49,1,49,-0.0951089859008789,True
naive_last,49,2,50,-0.0951089859008789,True
naive_last,49,3,51,-0.0951089859008789,True
naive_last,49,4,52,-0.0951089859008789,True
naive_last,49,5,53,-0.0951089859008789,True
naive_last,50,1,50,-0.17532014846801758,True
naive_last,50,2,51,-0.17532014846801758,True
naive_last,50,3,52,-0.17532014846801758,True
naive_last,50,4,53,-0.17532014846801758,True
naive_last,50,5,54,-0.17532014846801758,True
naive_last,51,1,51,-0.1194530725479126,True
naive_last,51,2,52,-0.1194530725479126,True
naive_last,51,3,53,-0.1194530725479126,True
naive_last,51,4,54,-0.1194530725479126,True
naive_last,51,5,55,-0.1194530725479126,True
naive_last,52,1,52,0.06810152530670166,True
naive_last,52,2,53,0.06810152530670166,True
naive_last,52,3,54,0.06810152530670166,True
naive_last,52,4,55,0.06810152530670166,True
naive_last,52,5,56,0.06810152530670166,True
naive_last,53,1,53,-0.005235254764556885,True
naive_last,53,2,54,-0.005235254764556885,True
naive_last,53,3,55,-0.005235254764556885,True
naive_last,53,4,56,-0.005235254764556885,True
naive_last,53,5,57,-0.005235254764556885,True
naive_last,54,1,54,-0.049645304679870605,True
naive_last,54,2,55,-0.049645304679870605,True
naive_last,54,3,56,-0.049645304679870605,True
naive_last,54,4,57,-0.049645304679870605,True
naive_last,54,5,58,-0.049645304679870605,True
naive_last,55,1,55,-0.1067008376121521,True
naive_last,55,2,56,-0.1067008376121521,True
naive_last,55,3,57,-0.1067008376121521,True
naive_last,55,4,58,-0.1067008376121521,True
naive_last,55,5,59,-0.1067008376121521,True
naive_last,56,1,56,-0.0567660927772522,True
naive_last,56,2,57,-0.0567660927772522,True
naive_last,56,3,58,-0.0567660927772522,True
naive_last,56,4,59,-0.0567660927772522,True
naive_last,56,5,60,-0.0567660927772522,True
naive_last,57,1,57,-0.05739092826843262,True
naive_last,57,2,58,-0.05739092826843262,True
naive_last,57,3,59,-0.05739092826843262,True
naive_last,57,4,60,-0.05739092826843262,True
naive_last,57,5,61,-0.05739092826843262,True
naive_last,58,1,58,-0.03025585412979126,True
naive_last,58,2,59,-0.03025585412979126,True
naive_last,58,3,60,-0.03025585412979126,True
naive_last,58,4,61,-0.03025585412979126,True
naive_last,58,5,62,-0.03025585412979126,True
naive_last,59,1,59,-0.04753315448760986,True
naive_last,59,2,60,-0.04753315448760986,True
naive_last,59,3,61,-0.04753315448760986,True
naive_last,59,4,62,-0.04753315448760986,True
naive_last,59,5,63,-0.04753315448760986,True
naive_last,60,1,60,-0.08299875259399414,True
naive_last,60,2,61,-0.08299875259399414,True
naive_last,60,3,62,-0.08299875259399414,True
naive_last,60,4,63,-0.08299875259399414,True
naive_last,60,5,64,-0.08299875259399414,True
previous_patch,0,1,0,0.04517388343811035,True
previous_patch,0,2,1,0.011522650718688965,True
previous_patch,0,3,2,0.00867927074432373,True
previous_patch,0,4,3,0.11053943634033203,True
previous_patch,0,5,4,-0.13339747488498688,True
previous_patch,1,1,1,-0.04848504066467285,True
previous_patch,1,2,2,-0.02417844533920288,True
previous_patch,1,3,3,-0.015568375587463379,True
previous_patch,1,4,4,0.09942770004272461,True
previous_patch,1,5,5,0.014160683378577232,True
previous_patch,2,1,2,-0.16697943210601807,True
previous_patch,2,2,3,0.029033184051513672,True
previous_patch,2,3,4,-0.08548492193222046,True
previous_patch,2,4,5,0.07538366317749023,True
previous_patch,2,5,6,-0.5205596685409546,True
previous_patch,3,1,3,-0.20967447757720947,True
previous_patch,3,2,4,-0.03506261110305786,True
previous_patch,3,3,5,-0.1368018388748169,True
previous_patch,3,4,6,0.04240143299102783,True
previous_patch,3,5,7,-0.10178758203983307,True
previous_patch,4,1,4,-0.25405043363571167,True
previous_patch,4,2,5,-0.009723961353302002,True
previous_patch,4,3,6,-0.20740920305252075,True
previous_patch,4,4,7,-0.011197924613952637,True
previous_patch,4,5,8,-0.09771993011236191,True
previous_patch,5,1,5,-0.23473656177520752,True
previous_patch,5,2,6,0.049967050552368164,True
previous_patch,5,3,7,-0.24863451719284058,True
previous_patch,5,4,8,-0.06294912099838257,True
previous_patch,5,5,9,0.03375156968832016,True
previous_patch,6,1,6,-0.1668969988822937,True
previous_patch,6,2,7,-0.030328094959259033,True
previous_patch,6,3,8,-0.20801973342895508,True
previous_patch,6,4,9,-0.09767639636993408,True
previous_patch,6,5,10,-0.10609457641839981,True
previous_patch,7,1,7,0.002828836441040039,True
previous_patch,7,2,8,-0.030332505702972412,True
previous_patch,7,3,9,-0.1331467628479004,True
previous_patch,7,4,10,-0.11144363880157471,True
previous_patch,7,5,11,-0.13314272463321686,True
previous_patch,8,1,8,-0.007031261920928955,True
previous_patch,8,2,9,-0.03723001480102539,True
previous_patch,8,3,10,-0.0537685751914978,True
previous_patch,8,4,11,-0.11345446109771729,True
previous_patch,8,5,12,-0.09960371255874634,True
previous_patch,9,1,9,0.06494855880737305,True
previous_patch,9,2,10,-0.04049563407897949,True
previous_patch,9,3,11,-0.0026713013648986816,True
previous_patch,9,4,12,-0.11113351583480835,True
previous_patch,9,5,13,0.3016194701194763,True
previous_patch,10,1,10,0.17559587955474854,True
previous_patch,10,2,11,-0.02610158920288086,True
previous_patch,10,3,12,0.07085847854614258,True
previous_patch,10,4,13,-0.1012563705444336,True
previous_patch,10,5,14,0.0688270628452301,True
previous_patch,11,1,11,0.10705554485321045,True
previous_patch,11,2,12,-0.044589102268218994,True
previous_patch,11,3,13,0.1367814540863037,True
previous_patch,11,4,14,-0.0831950306892395,True
previous_patch,11,5,15,-0.03329065442085266,True
previous_patch,12,1,12,0.1644197702407837,True
previous_patch,12,2,13,0.034392476081848145,True
previous_patch,12,3,14,0.16396021842956543,True
previous_patch,12,4,15,-0.055661022663116455,True
previous_patch,12,5,16,0.06226137652993202,True
previous_patch,13,1,13,0.4372220039367676,True
previous_patch,13,2,14,-0.023375332355499268,True
