stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
NVDA,Shared-target JEPA--MAE,0.002736071144275658,0.0001979878268331974,0.0401850290090078,0.0019744211555821176,0.5194736842105263,0.02314858930532736,10,10
NVDA,Local-MAE/Long-JEPA,0.002520435255697768,0.00013509322497640147,0.03780337266593334,0.0012455285887803444,0.5215789473684211,0.035475922673920995,10,10
NVDA,GRU,0.0022286099690669017,0.0003949932168729486,0.03515865185592123,0.001972732096249614,0.4894736842105264,0.03374628782749361,10,10
NVDA,Naive-last,0.0020790753562398285,0.0,0.033849857982836226,0.0,0.0,0.0,10,10
NVDA,Drift,0.0022182012412194844,0.0,0.0341106216471847,0.0,0.5052631578947369,0.0,10,10
NVDA,Mean-context,0.002183755134313742,0.0,0.034351809296410754,0.0,0.5210526315789473,0.0,10,10
TSLA,Shared-target JEPA--MAE,0.005046440361778894,0.0009324762592375004,0.05251629909892611,0.0049528863335324014,0.49421052631578943,0.047235029856585016,10,10
TSLA,Local-MAE/Long-JEPA,0.005503691283503543,0.0011783450493486796,0.05310207521702207,0.005580759211595622,0.4821052631578947,0.03932330028385095,10,10
TSLA,GRU,0.0036077668422324688,0.0004007471791975438,0.043938220547708205,0.0033420744432022787,0.49210526315789477,0.028424301308806396,10,10
TSLA,Naive-last,0.003348080612708749,0.0,0.041366781372772984,0.0,0.0,0.0,10,10
TSLA,Drift,0.0041565183002235185,0.0,0.04401976425318643,0.0,0.5263157894736842,0.0,10,10
TSLA,Mean-context,0.0040444618193305444,0.0,0.044699986263999264,0.0,0.5263157894736842,0.0,10,10
WMT,Shared-target JEPA--MAE,0.001230371428507449,9.96071588257737e-05,0.027111587475825937,0.00145250730627195,0.4905263157894737,0.026583434280527465,10,10
WMT,Local-MAE/Long-JEPA,0.001110938464718997,0.00012138998134773838,0.025619335319712028,0.0017119321858322862,0.47105263157894733,0.024841758348256658,10,10
WMT,GRU,0.0007041032972664883,7.317512808998673e-05,0.018673492572147753,0.0007526715772234151,0.5110526315789474,0.02385577883986672,10,10
WMT,Naive-last,0.0007212958157049027,0.0,0.018834191874453853,0.0,0.005263157894736842,0.0,10,10
WMT,Drift,0.0007714394485388129,0.0,0.019366072521418188,0.0,0.4473684210526316,0.0,10,10
WMT,Mean-context,0.0007691176659041279,0.0,0.01937628575277282,0.0,0.4526315789473684,0.0,10,10
