model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,locked
drift,relative_return,5,3,87,2024-11-08T00:00:00,0.009448828175663948,True
drift,relative_return,5,4,88,2024-11-11T00:00:00,0.012598438188433647,True
drift,relative_return,5,5,89,2024-11-12T00:00:00,0.015748048201203346,True
drift,relative_return,6,1,90,2024-11-13T00:00:00,0.0020839928183704615,True
drift,relative_return,6,2,91,2024-11-14T00:00:00,0.004167985636740923,True
drift,relative_return,6,3,92,2024-11-15T00:00:00,0.006251978687942028,True
drift,relative_return,6,4,93,2024-11-18T00:00:00,0.008335971273481846,True
drift,relative_return,6,5,94,2024-11-19T00:00:00,0.010419964790344238,True
drift,relative_return,7,1,95,2024-11-20T00:00:00,0.0020491646137088537,True
drift,relative_return,7,2,96,2024-11-21T00:00:00,0.0040983292274177074,True
drift,relative_return,7,3,97,2024-11-22T00:00:00,0.006147494073957205,True
drift,relative_return,7,4,98,2024-11-25T00:00:00,0.008196658454835415,True
drift,relative_return,7,5,99,2024-11-26T00:00:00,0.010245823301374912,True
drift,relative_return,8,1,100,2024-11-27T00:00:00,0.0026117032393813133,True
drift,relative_return,8,2,101,2024-11-29T00:00:00,0.005223406478762627,True
drift,relative_return,8,3,102,2024-12-02T00:00:00,0.00783510971814394,True
drift,relative_return,8,4,103,2024-12-03T00:00:00,0.010446812957525253,True
drift,relative_return,8,5,104,2024-12-04T00:00:00,0.013058516196906567,True
drift,relative_return,9,1,105,2024-12-05T00:00:00,0.0028012306429445744,True
drift,relative_return,9,2,106,2024-12-06T00:00:00,0.005602461285889149,True
drift,relative_return,9,3,107,2024-12-09T00:00:00,0.008403691463172436,True
drift,relative_return,9,4,108,2024-12-10T00:00:00,0.011204922571778297,True
drift,relative_return,9,5,109,2024-12-11T00:00:00,0.014006152749061584,True
drift,relative_return,10,1,110,2024-12-12T00:00:00,0.0028433031402528286,True
drift,relative_return,10,2,111,2024-12-13T00:00:00,0.005686606280505657,True
drift,relative_return,10,3,112,2024-12-16T00:00:00,0.008529908955097198,True
drift,relative_return,10,4,113,2024-12-17T00:00:00,0.011373212561011314,True
drift,relative_return,10,5,114,2024-12-18T00:00:00,0.014216515235602856,True
drift,relative_return,11,1,115,2024-12-19T00:00:00,0.002201306400820613,True
drift,relative_return,11,2,116,2024-12-20T00:00:00,0.004402612801641226,True
drift,relative_return,11,3,117,2024-12-23T00:00:00,0.006603918969631195,True
drift,relative_return,11,4,118,2024-12-24T00:00:00,0.008805225603282452,True
drift,relative_return,11,5,119,2024-12-26T00:00:00,0.011006532236933708,True
