model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
naive_last,relative_return,6,1,90,2024-11-13T00:00:00,0.0,0.0039691925048828125,-0.0039691925048828125,0.0039691925048828125,1.5754489140817896e-05
naive_last,relative_return,6,2,91,2024-11-14T00:00:00,0.0,0.017794251441955566,-0.017794251441955566,0.017794251441955566,0.00031663538437953775
naive_last,relative_return,6,3,92,2024-11-15T00:00:00,0.0,0.0034339427947998047,-0.0034339427947998047,0.0034339427947998047,1.1791963117957494e-05
naive_last,relative_return,6,4,93,2024-11-18T00:00:00,0.0,0.01690232753753662,-0.01690232753753662,0.01690232753753662,0.0002856886761861688
naive_last,relative_return,6,5,94,2024-11-19T00:00:00,0.0,0.01806187629699707,-0.01806187629699707,0.01806187629699707,0.0003262313753680246
naive_last,relative_return,7,1,95,2024-11-20T00:00:00,0.0,0.0031540393829345703,-0.0031540393829345703,0.0031540393829345703,9.947964429102285e-06
naive_last,relative_return,7,2,96,2024-11-21T00:00:00,0.0,0.0010513067245483398,-0.0010513067245483398,0.0010513067245483398,1.105245829080559e-06
naive_last,relative_return,7,3,97,2024-11-22T00:00:00,0.0,0.006965160369873047,-0.006965160369873047,0.006965160369873047,4.851345897805004e-05
naive_last,relative_return,7,4,98,2024-11-25T00:00:00,0.0,0.020106911659240723,-0.020106911659240723,0.020106911659240723,0.0004042878964725105
naive_last,relative_return,7,5,99,2024-11-26T00:00:00,0.0,0.029700398445129395,-0.029700398445129395,0.029700398445129395,0.0008821136677994446
naive_last,relative_return,8,1,100,2024-11-27T00:00:00,0.0,-0.0005530714988708496,0.0005530714988708496,0.0005530714988708496,3.058880828632482e-07
naive_last,relative_return,8,2,101,2024-11-29T00:00:00,0.0,0.009657144546508789,-0.009657144546508789,0.009657144546508789,9.326044079216445e-05
naive_last,relative_return,8,3,102,2024-12-02T00:00:00,0.0,0.0192716121673584,-0.0192716121673584,0.0192716121673584,0.00037139503552907627
naive_last,relative_return,8,4,103,2024-12-03T00:00:00,0.0,0.03228962421417236,-0.03228962421417236,0.03228962421417236,0.0010426198318924662
naive_last,relative_return,8,5,104,2024-12-04T00:00:00,0.0,0.03382110595703125,-0.03382110595703125,0.03382110595703125,0.0011438672081567347
naive_last,relative_return,9,1,105,2024-12-05T00:00:00,0.0,0.00012350082397460938,-0.00012350082397460938,0.00012350082397460938,1.525245352240745e-08
naive_last,relative_return,9,2,106,2024-12-06T00:00:00,0.0,-0.0006995797157287598,0.0006995797157287598,0.0006995797157287598,4.894117786591323e-07
naive_last,relative_return,9,3,107,2024-12-09T00:00:00,0.0,0.015390276908874512,-0.015390276908874512,0.015390276908874512,0.000236860623331836
naive_last,relative_return,9,4,108,2024-12-10T00:00:00,0.0,0.01958775520324707,-0.01958775520324707,0.01958775520324707,0.0003836801539023327
naive_last,relative_return,9,5,109,2024-12-11T00:00:00,0.0,0.0143204927444458,-0.0143204927444458,0.0143204927444458,0.00020507651244372482
naive_last,relative_return,10,1,110,2024-12-12T00:00:00,0.0,0.005963683128356934,-0.005963683128356934,0.005963683128356934,3.556551645544914e-05
naive_last,relative_return,10,2,111,2024-12-13T00:00:00,0.0,0.006653428077697754,-0.006653428077697754,0.006653428077697754,4.426810518509683e-05
naive_last,relative_return,10,3,112,2024-12-16T00:00:00,0.0,0.018459081649780273,-0.018459081649780273,0.018459081649780273,0.0003407376953532548
naive_last,relative_return,10,4,113,2024-12-17T00:00:00,0.0,0.028358101844787598,-0.028358101844787598,0.028358101844787598,0.0008041819402393457
naive_last,relative_return,10,5,114,2024-12-18T00:00:00,0.0,0.0063288211822509766,-0.0063288211822509766,0.0063288211822509766,4.005397755690865e-05
naive_last,relative_return,11,1,115,2024-12-19T00:00:00,0.0,0.007014632225036621,-0.007014632225036621,0.007014632225036621,4.920506525252222e-05
naive_last,relative_return,11,2,116,2024-12-20T00:00:00,0.0,0.025962471961975098,-0.025962471961975098,0.025962471961975098,0.0006740499503763431
naive_last,relative_return,11,3,117,2024-12-23T00:00:00,0.0,0.029107093811035156,-0.029107093811035156,0.029107093811035156,0.0008472229101244011
naive_last,relative_return,11,4,118,2024-12-24T00:00:00,0.0,0.04091918468475342,-0.04091918468475342,0.04091918468475342,0.0016743796752649587
naive_last,relative_return,11,5,119,2024-12-26T00:00:00,0.0,0.04422485828399658,-0.04422485828399658,0.04422485828399658,0.001955838090239581
mean_context,relative_return,0,1,60,2024-10-02T00:00:00,-7.355809793807566e-05,0.0025197267532348633,-0.0025932849384844303,0.0025932849384844303,6.7251267721701955e-06
mean_context,relative_return,0,2,61,2024-10-03T00:00:00,-0.0001471107971156016,-0.00238722562789917,0.0022401148453354836,0.0022401148453354836,5.018114520292417e-06
mean_context,relative_return,0,3,62,2024-10-04T00:00:00,-0.00022065806842874736,0.002608180046081543,-0.0028288380708545446,0.0028288380708545446,8.002324831116062e-06
mean_context,relative_return,0,4,63,2024-10-07T00:00:00,-0.0002941999409813434,-0.019981443881988525,0.019687244668602943,0.019687244668602943,0.000387587602641435
mean_context,relative_return,0,5,64,2024-10-08T00:00:00,-0.00036773638566955924,-0.0019450783729553223,0.0015773419290781021,0.0015773419290781021,2.4880075612278285e-06
mean_context,relative_return,1,1,65,2024-10-09T00:00:00,-0.000559373467694968,0.016698360443115234,-0.017257733270525932,0.017257733270525932,0.0002978293576366177
mean_context,relative_return,1,2,66,2024-10-10T00:00:00,-0.0011184340110048652,0.01448369026184082,-0.01560212392359972,0.01560212392359972,0.00024342627092736272
mean_context,relative_return,1,3,67,2024-10-11T00:00:00,-0.0016771819209679961,0.00788414478302002,-0.00956132635474205,0.00956132635474205,9.14189616618849e-05
mean_context,relative_return,1,4,68,2024-10-14T00:00:00,-0.0022356172557920218,0.024493932723999023,-0.02672955021262169,0.02672955021262169,0.0007144688545690642
mean_context,relative_return,1,5,69,2024-10-15T00:00:00,-0.002793740015476942,0.035788655281066895,-0.038582395762205124,0.038582395762205124,0.001488601262751424
mean_context,relative_return,2,1,70,2024-10-16T00:00:00,0.0007565963896922767,-0.008851885795593262,0.009608482010662556,0.009608482010662556,9.232292654922595e-05
mean_context,relative_return,2,2,71,2024-10-17T00:00:00,0.0015137651935219765,-0.007269680500030518,0.008783445693552494,0.008783445693552494,7.714891825158585e-05
mean_context,relative_return,2,3,72,2024-10-18T00:00:00,0.0022715069353580475,0.004917621612548828,-0.0026461146771907806,0.0026461146771907806,7.001922884844469e-06
mean_context,relative_return,2,4,73,2024-10-21T00:00:00,0.0030298219062387943,0.011246442794799805,-0.008216621354222298,0.008216621354222298,6.751286647866186e-05
mean_context,relative_return,2,5,74,2024-10-22T00:00:00,0.0037887105718255043,0.00859522819519043,-0.004806517623364925,0.004806517623364925,2.310261166371761e-05
